"TIME","GEO","P_ADJ","UNIT","S_ADJ","NACE_R2","INDIC","Value","Flag and Footnotes"
"2016Q3","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","4.0","p"
"2016Q3","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2016Q4","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2016Q4","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2016Q4","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.8",""
"2016Q4","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.4",""
"2016Q4","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2016Q4","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2016Q4","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.9",""
"2016Q4","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2016Q4","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.3",""
"2016Q4","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0","p"
"2016Q4","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2016Q4","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2016Q4","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2016Q4","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2016Q4","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.0",""
"2016Q4","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.0",""
"2016Q4","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2016Q4","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.2",""
"2016Q4","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","5.4","p"
"2016Q4","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.7",""
"2016Q4","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2016Q4","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.5",""
"2016Q4","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2016Q4","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.8",""
"2016Q4","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.6",""
"2016Q4","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.8",""
"2016Q4","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.1","p"
"2016Q4","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q1","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2017Q1","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q1","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","4.7",""
"2017Q1","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.9",""
"2017Q1","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q1","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0",""
"2017Q1","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.4",""
"2017Q1","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2017Q1","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.4",""
"2017Q1","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0","p"
"2017Q1","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0","p"
"2017Q1","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.0",""
"2017Q1","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2",""
"2017Q1","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q1","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.9",""
"2017Q1","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2017Q1","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2017Q1","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2017Q1","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.9","p"
"2017Q1","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.5",""
"2017Q1","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2017Q1","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2017Q1","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2017Q1","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.5",""
"2017Q1","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q1","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2017Q1","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.0","p"
"2017Q1","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2",""
"2017Q2","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2017Q2","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2017Q2","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.9",""
"2017Q2","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2017Q2","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2017Q2","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2017Q2","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.5",""
"2017Q2","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0",""
"2017Q2","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0",""
"2017Q2","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2017Q2","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2017Q2","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2017Q2","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.0",""
"2017Q2","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2017Q2","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.8",""
"2017Q2","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2017Q2","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2017Q2","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.1",""
"2017Q2","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9","p"
"2017Q2","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2017Q2","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2017Q2","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.5",""
"2017Q2","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.9",""
"2017Q2","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.1",""
"2017Q2","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.7",""
"2017Q2","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.2",""
"2017Q2","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0","p"
"2017Q2","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2017Q3","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2017Q3","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2017Q3","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.0",""
"2017Q3","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.9",""
"2017Q3","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2017Q3","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1",""
"2017Q3","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2017Q3","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.4",""
"2017Q3","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.6",""
"2017Q3","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2","p"
"2017Q3","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2","p"
"2017Q3","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.9",""
"2017Q3","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0",""
"2017Q3","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2017Q3","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2017Q3","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.7",""
"2017Q3","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q3","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.9",""
"2017Q3","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3","p"
"2017Q3","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2017Q3","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2017Q3","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2017Q3","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2017Q3","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2017Q3","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2017Q3","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2017Q3","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.4","p"
"2017Q3","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q4","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2017Q4","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q4","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.1",""
"2017Q4","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2017Q4","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2017Q4","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0",""
"2017Q4","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2017Q4","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2017Q4","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.9",""
"2017Q4","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3","p"
"2017Q4","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6","p"
"2017Q4","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2017Q4","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.0",""
"2017Q4","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2017Q4","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.6",""
"2017Q4","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.1",""
"2017Q4","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2017Q4","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.5",""
"2017Q4","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.4","p"
"2017Q4","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.0",""
"2017Q4","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2017Q4","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2017Q4","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2",""
"2017Q4","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.0",""
"2017Q4","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2017Q4","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2017Q4","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7","p"
"2017Q4","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2018Q1","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2018Q1","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2018Q1","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2",""
"2018Q1","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2018Q1","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2018Q1","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2018Q1","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.2",""
"2018Q1","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2018Q1","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.2",""
"2018Q1","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2018Q1","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1","p"
"2018Q1","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.5",""
"2018Q1","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.0",""
"2018Q1","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.4",""
"2018Q1","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","4.8",""
"2018Q1","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1",""
"2018Q1","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.6",""
"2018Q1","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.4",""
"2018Q1","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.2","p"
"2018Q1","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.6",""
"2018Q1","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.1",""
"2018Q1","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.6",""
"2018Q1","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.4",""
"2018Q1","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","4.0",""
"2018Q1","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2018Q1","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.3",""
"2018Q1","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2018Q1","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2018Q2","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2018Q2","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6",""
"2018Q2","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.8",""
"2018Q2","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2018Q2","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2018Q2","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.3",""
"2018Q2","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2018Q2","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2018Q2","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.2",""
"2018Q2","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2","p"
"2018Q2","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2018Q2","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","5.8",""
"2018Q2","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2018Q2","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2018Q2","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2018Q2","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.1",""
"2018Q2","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2018Q2","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.4",""
"2018Q2","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8","p"
"2018Q2","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2018Q2","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2018Q2","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2018Q2","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.1",""
"2018Q2","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.2",""
"2018Q2","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2018Q2","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.1",""
